,index,genre,artist_name,track_name,track_id,popularity,acousticness,danceability,duration_ms,energy,instrumentalness,key,liveness,loudness,mode,speechiness,tempo,time_signature,valence,AudioSegments,SegDuration,SegConfidence,SegLoudnessStart,SegLoudnessMaxTime,SegLoudnessMax,SegLoudnessEnd,SegPitches0,SegPitches1,SegPitches2,SegPitches3,SegPitches4,SegPitches5,SegPitches6,SegPitches7,SegPitches8,SegPitches9,SegPitches10,SegPitches11,SegTimbre0,SegTimbre1,SegTimbre2,SegTimbre3,SegTimbre4,SegTimbre5,SegTimbre6,SegTimbre7,SegTimbre8,SegTimbre9,SegTimbre10,SegTimbre11
4330,126103,Classical,Hector Berlioz,"L'enfance du Christ, Op. 25, H. 130, Pt. 1 ""Le songe d’Hérode"": Ô mon cher fils",2H9ATy7BQ35c4lXSD8g6nU,5,0.97,0.191,419133,0.0573,0.322,G#,0.10400000000000001,-26.34,Major,0.0447,93.443,3/4,0.0386,1456.0,0.10957,0.204,-28.261,0.02993,-23.798,0.0,0.097,0.393,0.176,0.027,0.303,1.0,0.05,0.021,0.064,0.06,0.106,0.047,33.858,-30.621,108.313,33.131,79.606,-22.922,-5.528,-12.856,31.272,6.011,-5.336,-20.551
4331,123559,Classical,Elena Kats-Chernin,Biqui,4gIawyAZJSUPth4Fr1pZgb,42,0.996,0.45,233960,0.00274,0.9670000000000001,A,0.0722,-36.215,Major,0.0619,131.059,3/4,0.0666,214.0,0.47592,0.454,-42.623,0.09943,-38.831,0.0,0.051,0.106,0.052,0.04,0.055,0.034,0.588,0.056,0.038,0.026,0.032,1.0,19.674,-178.067,-32.445,-23.488,123.207,-51.818,-14.624,20.316,-25.279,-5.969,-8.616,-13.619
4332,124986,Classical,Richard Strauss,"Arabella, Op. 79, TrV 263, Act II: Die Herren und Damen sind einstweilen meine Gäste! (Live)",6PAfzYpXiF1stCGHynvhZh,0,0.66,0.19699999999999998,300307,0.299,0.5429999999999999,C,0.132,-15.862,Major,0.045,109.303,3/4,0.0841,897.0,0.56317,0.161,-9.008,0.04896,-5.624,0.0,0.813,0.076,0.075,0.086,0.197,0.122,0.624,0.113,0.135,0.154,0.168,1.0,52.806,83.56,20.802,-14.297,26.412,-31.982,-13.98,-1.771,28.375,9.1,-7.334,0.041
4333,129124,Classical,Erik Satie,Pieces froides: II. Trois Danses de travers,53XyQMpA9kh1JoZBqBv189,32,0.995,0.34299999999999997,279440,0.0723,0.894,A,0.0908,-28.726999999999997,Minor,0.0684,68.53399999999999,4/4,0.084,701.0,0.50463,0.279,-42.029,0.03519,-39.082,0.0,0.022,0.051,0.787,0.066,0.027,0.03,0.08,1.0,0.033,0.124,0.026,0.103,18.808,-149.024,-39.917,-5.707,91.943,-51.773,-22.687,36.368,-32.881,-13.463,-6.722,-16.731
4334,127850,Classical,Claude Debussy,Masques,5N9Nut1vIYYFqv9KbP8FD7,31,0.987,0.16899999999999998,319320,0.0496,0.9209999999999999,C#,0.0913,-26.316999999999997,Major,0.0408,89.14299999999999,4/4,0.0372,958.0,0.42458,0.331,-23.498,0.0095,-19.293,0.0,0.844,0.226,0.143,0.136,0.164,0.209,0.113,0.276,1.0,0.701,0.998,0.207,38.608,-85.627,24.349,9.749,20.898,-38.056,-18.432,9.778,-14.369,-7.078,-14.643,18.186
4335,129667,Classical,Howard Shore,Glamdring,6zrRw31r0RlZTYd7dgKqb1,32,0.66,0.165,230213,0.322,0.76,E,0.0764,-13.731,Minor,0.0462,110.86399999999999,3/4,0.0787,556.0,0.13283,0.163,-22.806,0.05573,-19.349,0.0,1.0,0.619,0.163,0.038,0.107,0.041,0.105,0.276,0.182,0.912,0.564,0.055,38.679,58.08,76.049,6.28,33.845,-25.207,-6.323,12.42,7.644,12.157,-13.159,-8.398
4336,123270,Classical,Antonín Dvořák,"Violin Sonatina in G Major, Op. 100, B. 183: II. Larghetto",4UBJzKTnf8ATYnZtYONOWO,0,0.97,0.10800000000000001,257093,0.0623,0.349,G,0.138,-22.886,Minor,0.0482,65.429,4/4,0.0546,822.0,0.12816,0.267,-33.686,0.06739,-29.85,0.0,0.076,0.407,1.0,0.056,0.032,0.058,0.23,0.414,0.11,0.061,0.082,0.189,28.755,-95.44,42.771,-15.003,12.2,-28.135,12.698,-8.162,-42.663,4.828,-3.61,42.528
4337,104780,Classical,Ludwig van Beethoven,"Eroica Variations in E-Flat Major, Op. 35: A quattro",7CHRd08vIy8O9O0qOcIgqd,0,0.993,0.41700000000000004,39412,0.183,0.8540000000000001,D#,0.16,-22.921999999999997,Major,0.0452,108.191,3/4,0.8740000000000001,165.0,0.15324,0.592,-27.825,0.07184,-20.359,0.0,0.937,0.176,0.316,0.914,0.401,0.137,0.594,0.47,0.298,1.0,0.495,0.287,36.956,-86.389,31.05,5.52,17.606,-17.086,-35.159,-0.472,-18.775,2.235,2.137,7.758
4338,123261,Classical,Wolfgang Amadeus Mozart,"Violin Concerto No. 3 in G Major, K. 216: II. Adagio (Cadenza: Yakov Kreizberg)",3YFkcRV2cZVlpOUcglVnJP,48,0.958,0.18,500573,0.0529,0.203,D,0.0808,-25.866,Major,0.0432,92.45700000000001,4/4,0.109,1845.0,0.23746,0.65,-37.985,0.16281,-29.541,0.0,0.072,0.151,1.0,0.173,0.022,0.064,0.229,0.05,0.026,0.483,0.077,0.036,25.819,11.708,102.118,-69.538,20.093,-23.685,-37.625,26.362,-6.932,2.237,29.7,1.446
4339,104267,Classical,Wolfgang Amadeus Mozart,"La clemenza di Tito, K. 621, Act II: Torna di Tito a lato",31nDZyY9jY3Du2rxZ0ZlZN,0,0.9690000000000001,0.298,137027,0.0526,0.0,G,0.551,-27.488000000000003,Major,0.0557,85.01799999999999,3/4,0.217,487.0,0.19791,0.367,-31.152,0.04656,-28.027,0.0,0.418,0.185,1.0,0.414,0.186,0.15,0.204,0.443,0.258,0.12,0.186,0.409,30.799,103.304,59.322,-13.045,28.711,-26.656,-19.126,-8.73,14.492,9.692,-1.202,15.313
4340,124200,Classical,Jóhann Jóhannsson,The Wedding,6q0Wyd9dx7jb5cvS7kjTXU,39,0.8590000000000001,0.22899999999999998,102585,0.23199999999999998,0.9309999999999999,A#,0.11199999999999999,-16.361,Major,0.0321,134.803,3/4,0.254,303.0,0.16413,0.087,-14.463,0.00179,-10.963,0.0,0.133,0.025,0.007,0.006,0.055,0.192,0.027,0.03,0.179,0.628,1.0,0.015,45.095,-6.215,-16.002,-3.835,-9.633,-57.351,-31.843,-21.93,4.064,0.392,-18.65,16.788
4341,104645,Classical,Ludwig van Beethoven,"Piano Sonata No. 31 in A-Flat Major, Op. 110: II. Allegro molto",01GiKVjdIuNsuZqIVkBo83,31,0.988,0.426,125440,0.107,0.67,F,0.14800000000000002,-19.113,Minor,0.0602,136.144,4/4,0.527,335.0,0.19161,0.423,-37.542,0.01648,-30.516,0.0,0.178,1.0,0.27,0.172,0.121,0.17,0.783,0.727,0.58,0.416,0.636,0.394,27.628,-62.147,109.055,28.594,26.317,-38.723,21.239,13.934,0.603,-14.943,7.988,-11.745
4342,126906,Classical,George Frideric Handel,Water Music: Andante,50cMrOfKBp3Eh3ndjiuJad,30,0.958,0.2,138093,0.0511,0.816,C#,0.191,-22.129,Minor,0.0415,82.294,3/4,0.147,456.0,0.23769,0.072,-21.399,0.04372,-18.76,0.0,0.021,0.685,0.288,1.0,0.13,0.018,0.009,0.211,0.063,0.017,0.088,0.032,39.201,52.214,56.035,19.08,27.411,-20.785,-15.781,-7.452,11.538,11.885,-24.528,-7.164
4343,128095,Classical,Johannes Brahms,"Ein deutsches Requiem (A German Requiem), Op. 45: IV. Wie lieblich sind deine Wohnungen",030ATJdHStkvaRYAG7owAi,32,0.987,0.21,311427,0.113,0.45399999999999996,D#,0.114,-20.944000000000003,Major,0.0413,124.336,3/4,0.0665,986.0,0.1859,0.265,-35.749,0.11602,-31.557,0.0,0.19,0.151,0.345,0.883,0.265,0.021,0.14,0.55,0.089,0.184,1.0,0.175,26.605,-98.877,64.808,-38.844,57.569,-26.52,-34.436,-2.281,-0.297,-3.426,5.669,-3.974
4344,104991,Classical,Frédéric Chopin,"Chopin: Nocturne No. 2 in E-Flat Major, Op. 9 No. 2",2FRnxuLDZ4vSdvER2Xzrv2,55,0.99,0.402,309640,0.0208,0.919,D#,0.09699999999999999,-27.294,Major,0.0449,94.45700000000001,3/4,0.0862,551.0,0.15129,0.492,-30.891,0.08692,-25.272,0.0,0.974,0.166,0.16,0.336,0.141,0.165,0.465,0.389,0.906,0.357,1.0,0.923,33.458,-72.753,52.285,-15.617,28.936,-26.613,-36.054,-9.779,-16.677,-10.318,1.247,-11.921
4345,124999,Classical,Richard Strauss,"Idomeneo, TrV 262, Act II (After W.A. Mozart): Würgend verbreitet Tod das Untier in der Stadt! - Es fehlen mir die Worte [Live]",6M74mylcMtk7jFb5AyquNy,1,0.977,0.27699999999999997,337093,0.0651,0.0,A,0.115,-23.515,Major,0.0833,182.11700000000002,3/4,0.133,1326.0,0.1171,0.026,-32.415,0.07002,-30.19,0.0,0.096,0.604,0.185,0.169,0.741,0.175,0.135,1.0,0.225,0.275,0.112,0.075,28.821,21.927,84.133,-3.453,21.757,-23.335,-47.524,2.89,-26.147,1.902,-4.828,-2.286
4346,130223,Classical,Blind Guardian,Fly,7froaf5dznzfMDpceMY9eG,36,0.00937,0.529,345783,0.938,0.0203,G#,0.0488,-4.625,Minor,0.155,117.988,4/4,0.193,1114.0,0.25519,0.686,-8.263,0.06202,-1.934,0.0,0.415,0.471,0.492,1.0,0.94,0.491,0.369,0.332,0.402,0.629,0.768,0.307,55.974,69.351,20.22,-1.6,7.46,-18.144,0.74,14.374,-10.84,7.61,-10.491,15.989
4347,125815,Classical,Howard Shore,The White Council - Extended Version,4tkt5v8kzxfRWMeAVZySzf,32,0.55,0.0815,581388,0.0947,0.924,A#,0.111,-24.793000000000003,Minor,0.0433,83.07600000000001,4/4,0.0322,1662.0,0.08844,0.154,-30.109,0.03399,-27.815,0.0,1.0,0.488,0.351,0.322,0.276,0.281,0.184,0.203,0.16,0.158,0.257,0.247,31.281,-104.724,-2.437,-24.391,-29.635,-32.763,-2.346,-8.013,-16.091,3.334,-0.247,-2.621
4348,130895,Classical,Johann Sebastian Bach,"Unaccompanied Cello Suite No. 6 in D Major, BWV 1012: Sarabande",5xLBgXIR5HtK6j26dRI509,25,0.972,0.11900000000000001,319867,0.0346,0.7909999999999999,C#,0.11800000000000001,-24.484,Major,0.0473,78.88600000000001,3/4,0.0494,993.0,0.1,0.277,-41.156,0.03692,-37.763,0.0,0.059,1.0,0.464,0.526,0.254,0.057,0.019,0.014,0.047,0.029,0.12,0.049,21.282,-108.767,7.863,-26.498,31.885,-32.372,-23.794,2.164,-26.5,-2.945,-2.713,-19.503
4349,129884,Classical,Primal Fear,The End Is Near,72uDC6LktYrSiPt7s5JwEP,41,4.43e-06,0.466,266973,0.968,0.00309,C,0.10300000000000001,-5.03,Major,0.10099999999999999,155.1,4/4,0.474,925.0,0.44118,0.347,-6.762,0.06711,-1.67,0.0,1.0,0.221,0.16,0.141,0.26,0.214,0.251,0.466,0.166,0.167,0.15,0.272,53.864,56.212,16.204,-12.315,4.608,-27.466,22.149,10.001,-7.401,-11.396,-19.786,0.077
4350,105156,Classical,Elena Kats-Chernin,Lullaby For Nick,1eG5bhF8GFTbKxENbHzTZA,49,0.9890000000000001,0.38799999999999996,203160,0.00484,0.8809999999999999,A,0.0588,-32.45,Minor,0.0416,132.89,3/4,0.0689,341.0,0.32032,0.38,-42.91,0.07897,-39.349,0.0,0.029,0.026,0.083,0.008,0.012,0.041,0.01,0.008,0.027,1.0,0.041,0.004,19.346,-156.221,-72.851,-51.584,53.145,-47.632,-8.103,8.316,-33.926,3.153,-0.943,-12.46
4351,129164,Classical,Wolfgang Amadeus Mozart,"Violin Sonata No. 32 in B-Flat Major, K. 454: II. Andante",4OFAdngawr0JCRxRH93DMx,28,0.991,0.255,466000,0.0324,0.0261,D#,0.113,-25.862,Major,0.0486,100.145,4/4,0.127,1528.0,0.99556,0.198,-42.311,0.03769,-39.787,0.0,0.043,0.056,0.403,0.091,0.047,0.561,0.076,0.103,0.26,0.098,1.0,0.168,15.338,-42.96,-71.924,39.081,37.855,-44.415,-38.222,37.591,8.953,-5.904,-21.761,0.585
4352,125379,Classical,Alberto Nepomuceno,Série brasileira: IV. Batuque,6tLv94j73OP0sZyzUlG6Bs,38,0.9059999999999999,0.478,224813,0.255,0.899,C,0.0391,-17.796,Major,0.0366,101.931,4/4,0.519,838.0,0.30821,0.74,-24.638,0.05849,-15.729,0.0,0.317,0.06,0.064,0.272,1.0,0.284,0.183,0.087,0.516,0.101,0.081,0.938,40.127,-5.862,61.972,34.87,27.986,0.963,-21.422,-4.791,-13.88,-9.865,-21.592,-5.199
4353,129521,Classical,André Previn,Servants' Chorus* - Voice,2RBD3eCh8BlTeCaLlQ2NeR,26,0.935,0.648,84333,0.0833,0.0,F#,0.2,-18.338,Minor,0.0507,54.163999999999994,4/4,0.46799999999999997,206.0,0.06404,0.394,-37.421,0.03091,-34.021,0.0,0.293,1.0,0.415,0.492,0.213,0.036,0.045,0.055,0.091,0.095,0.234,0.109,25.65,-125.054,-38.316,-62.11,6.974,-35.106,-19.551,11.868,-8.176,-5.61,11.708,13.593
4354,129508,Classical,Terry Riley,A Rainbow in the Curved Air - Instrumental,0aGvcIUEdMq9PelZIGJOBU,32,0.672,0.19699999999999998,1119333,0.42200000000000004,0.58,D,0.128,-17.453,Major,0.0505,172.80599999999998,4/4,0.131,3997.0,0.22363,0.143,-20.293,0.06948,-17.399,0.0,0.037,0.116,0.313,0.234,1.0,0.062,0.025,0.104,0.14,0.513,0.088,0.067,41.081,21.407,-44.067,-51.468,22.444,-35.143,-18.67,-21.601,5.256,2.758,-6.633,24.058
4355,123509,Classical,Lera Auerbach,"24 Preludes For Violin And Piano, Op.46: 15. Adagio sognando",6b0oZ8TjWHquXZs8YMQZet,38,0.684,0.175,96680,0.00221,4.270000000000001e-05,G#,0.0897,-41.744,Major,0.0445,70.46,5/4,0.0458,199.0,0.50481,0.264,-49.917,0.03886,-46.592,0.0,0.782,0.652,0.255,0.166,0.316,1.0,0.268,0.224,0.463,0.134,0.484,0.165,11.254,149.785,90.276,27.411,9.166,-20.816,-2.918,8.712,-26.095,-10.072,3.536,18.2
